call_number,category,date_acquired,title,id,author,correction_date,correction_source
DS109.32.M38 N68 1961. From the Library of Nina Garsoïan,Ancient Western Asia,,"Notice illustrée sur Al-Haram Al-Sharif, Jérusalem",,,,
DG59.D43 R665 2015,European and Classical Antiquity,,Der römische Limes in Österreich: Führer zu den archäologischen Denkmälern,,,,
DS751.82 W77 1995,"China, South Asia, & East Asia",,西夏书事校证,,,,
TA436 .F46 2016,Cross-Cultural Studies & Other,,Protocoles d'étude des mortiers anciens à l'usage des archéologues,,,,
DS70.5.N9 S88 v.11 2001,Ancient Western Asia,,The Pula-ḫali family archives,,,,
KJA1041 .D65 1985,European and Classical Antiquity,,"Repertorium manuscriptorum veterum Codicis Iustiniani, Halbbd",,,,
DS554.98.A5 F79 1972,"China, South Asia, & East Asia",,Angkor Wat,,,,
CJ1229 .W53 1973,Ancient Western Asia,,Byzantine coins,,,,
BR195.W6 M38 2014,Egypt & North Africa,,Christian women in the Greek papyri of Egypt to 400 CE,,,,
P945.A2 G764 2009,Ancient Western Asia,,Hethitische Texte in Transkription KUB 2,,,,
ND2848 .H83 2008,"China, South Asia, & East Asia",,汉代墓室壁画硏究,,,,
GN824.C7 S3 1969,The Caucasus & The Western Steppe,,Северное Присивашье в V-I тысячелетиях до нашей эры,,,,
CB311 .I84 1977,The Caucasus & The Western Steppe,,История и культура античного мира,,,,
SF293.A8 O47 2010,Cross-Cultural Studies & Other,,"A gift from the desert: the art, history, and culture of the Arabian horse",,,,
ND1043.24 .G89 1988,"China, South Asia, & East Asia",,固原北魏墓漆棺画,,,,
NK4340.C44 L684 2015,"China, South Asia, & East Asia",,"龙泉大窑枫洞岩窑址, v",,,,
BL1625.M37 B37 2012,Ancient Western Asia,,Les religieuses et le culte de Marduk dans le royaume de Babylone,,,,
DS719 .K63 2003,"China, South Asia, & East Asia",,汉墓的考古学硏究=Hanmude kaoguxue yanjiu,,,,
BR195.C5 G56 2015,Egypt & North Africa,,"The Gnomai of the Council of Nicea (CC 0021): critical text with translation, introduction and commentary",,,,
BL660 .D793 1977,"China, South Asia, & East Asia",,Les dieux souverains des indo-européens,,,,
DS797.44.X573 X466 2016,"China, South Asia, & East Asia",,新郑坡赵一号墓=No,,,,
DK34.S4 S45 1989,The Caucasus & The Western Steppe,,Скифия и Боспор: Археологические материалы к конференции памяти академика М,,,,
DE5 .C28 2006,European and Classical Antiquity,,The Cambridge dictionary of classical civilization,,,,
PN871 .H66 2018,Cross-Cultural Studies & Other,2025-12-15,"The Homeric epics and the Chinese ""Book of songs"" : foundational texts compared /",,,,
U821.M628 G47 2017,Ancient Western Asia,,Les armes du Proche-Orient ancien: des origines à 2000 av,,,,
DS327.3 .P76 1979 Non-circulating,Central Asia & Siberia,2012-04-20T00:00:00.000000,Prolegomena to the sources on the history of pre-Islamic Central Asia /,,,,
DK508.425.S39 F535 2003,The Caucasus & The Western Steppe,,Напад Скіфів на Трахтемирівське городище,,,,
DT73.A8127 I88 2012,Egypt & North Africa,,"La collezione archeologica dell'Istituto papirologico ""G",,,,
DS71 .S2 1979,Ancient Western Asia,,История древней Ассирии,,,,
DS110.H28 R661 1983,Ancient Western Asia,,סקרארכיאולוגישלישראל:מפתחיפה־מזרח(23) 24־15,,,,
DK699.A27 A55 2011,The Caucasus & The Western Steppe,,Namälum Abşeron = Unknown Absheron= Неизвестный Абшерон,,,,
PA3309 .G7 1972,Egypt & North Africa,,Papyri Groninganae: Griechische Papyri der Universitätsbibliothek zu Groningen nebst zwei Papyri der Universitätsbibliothek zu Amsterdam,,,,
QE634.C6 C38 2015,Central Asia & Siberia,,"The Central Asian Orogenic Belt: geology, evolution, tectonics and models",,,,
DS797.62.S546 S456 2007,"China, South Asia, & East Asia",,"沈阳考古文集, v",,,,
NK3850 .Q48 2015,European and Classical Antiquity,,Contextos cerámicos y transformaciones urbanas en Carthago Nova (s,,,,
NK4670.7.C6 H46 2016,"China, South Asia, & East Asia",,金石文心:庐江草堂藏砖瓦拓片,,,,
BF1591 .W583 1999,European and Classical Antiquity,,Witchcraft and magic in Europe,,,,
N7346.Y8 Y8 2013,"China, South Asia, & East Asia",,蔚州文物珍藏,,,,
T15 .S53 1954 Non-circulating,Cross-Cultural Studies & Other,2012-12-18T00:00:00.000000,A history of technology /,,,,
TS2010 .S86 2016,"China, South Asia, & East Asia",,载驰载驱:中国古代车马文化,,,,
GN778.2.K63 P76 2014,The Caucasus & The Western Steppe,,"Скифы, сарматы и племена кобанской культуры в Центральном Предкавказье во второй половине И тыс",,,,
BR67 .T75 1977,Ancient Western Asia,,"A tribute to Arthur Vööbus: studies in early Christian literature and its environment, primarily in the Syrian East",,,,
CN398.G3 I583 2012,European and Classical Antiquity,,Inscriptiones Graecae Treverenses: Edition der spätantiken und frühchristlichen griechischen Inschriften in Trier mit Übersetzung und Kommentar,,,,
TD216 .F765 2016,European and Classical Antiquity,,"Wasserwesen zur Zeit des Frontinus: Bauwerke, Technik, Kultur : Tagungsband des internationalen Frontinus-Symposiums Trier, 25",,,,
DS797.77.C48 C448 2016,"China, South Asia, & East Asia",,"成都天府广场东北侧古遗址发掘报告=Report of archaeological excavation at the ancient ruins of northeastern Tianfu square, Chengdu",,,,
DK905 .K39 2010 Non-circulating,Central Asia & Siberia,2011-02-15T00:00:00.000000,Kazakhstan :,,,,
CC165 .B23 1971 Non-circulating,Cross-Cultural Studies & Other,2008-08-06T00:00:00.000000,Archaeology :,,,,
KNN122 .L526 2016,"China, South Asia, & East Asia",,兩漢魏晉南北朝石刻法律文獻整理與研究,,,,
HT863 .D68 1980,European and Classical Antiquity,,Рабство в Аттике в VI-V вв,,,,
BQ1217 .K37 2008,Central Asia & Siberia,,Die uigurischen buddhistischen Kolophone,,,,
DF221.N39 A34 2016,European and Classical Antiquity,,"Geometric period Plithos burial ground at Chora of Naxos Island, Greece: anthropology report",,,,
DK511.C2 A743 1984,The Caucasus & The Western Steppe,,Археология и вопросы социальной истории Северного Кавказа: сборник научных трудов,,,,
KJA195 .R66 1996,European and Classical Antiquity,,"Roman statutes, v",,,,
DS57 .P67 1997,Ancient Western Asia,,Mesopotamian civilization: the material foundations,,,,
NK9900 .C43 1954,"China, South Asia, & East Asia",,長沙出土古代漆器圖案選集,,,,
DS747.42 .L63 2005,"China, South Asia, & East Asia",,"Faith, myth, and reason in Han China",,,,
HD846.Z7 L36 2016,Ancient Western Asia,,"Landscapes of the Islamic world: archaeology, history, and ethnography",,,,
DS281 .E82 2014,Ancient Western Asia,,Excavating an empire: Achaemenid Persia in Longue Durée,,,,
PJ3251 .M47 1966,Ancient Western Asia,,Assyrian grammar with chrestomathy and glossary,,,,
NK5107.3 .R65 2016,European and Classical Antiquity,,Le verre à Lyon: production et consommation durant le Haut-Empire (Lugdunum),,,,
DS111 .Y4 1960,Egypt & North Africa,,"A decade of archaeology in Israel, 1948-1958",,,,
N7262 .A86 1960,"China, South Asia, & East Asia",,Masterpieces of Asian art in American collections,,,,
DS110.B476 S587 2006,Ancient Western Asia,,The temple area of Bethsaida: Polish excavations on et-Tell in the years 1998-2000,,,,
DS110.E458 D68 2016,Ancient Western Asia,,"Tel Miqne-Ekron excavations 1985-1988, 1990, 1992-1995: field IV lower--the Elite Zone, pt",,,,
DS49.5 .H8 1916,Ancient Western Asia,,From the gulf to Ararat: an expedition through Mesopotamia and Kurdistan,,,,
PA3341 .Y6 1973,Egypt & North Africa,,"Scriptiunculae, v",,,,
NA1479.7.A46 Q27 2016,Ancient Western Asia,,"Qasr al-Mschatta: ein frühislamischer Palast in Jordanien und Berlin, Bd",,,,
ND1045 .L57 2016,"China, South Asia, & East Asia",,心绘:从兴国寺到吉祥村 =Painting by heart : from Xingguo Temple to Jixiang Village,,,,
PJ4567 .W4 1959,Ancient Western Asia,,"A practical grammar for classical Hebrew,",,,,
PA6105.S8 H7 1912,European and Classical Antiquity,,Q,,,,
DS793.S62 W26 2009,"China, South Asia, & East Asia",,丝绸之路考古研究,,,,
CC135 .I495 1983,Ancient Western Asia,,"ICCROM Conference on ""Conservation on Archaeological Excavations"": Nicosia, Cyprus, 23-26 August 1983",,,,
NA9340.R6 C63 1955,European and Classical Antiquity,,La Colonna di Marco Aurelio,,,,
CC101.A8 T74 1979 Non-circulating,Cross-Cultural Studies & Other,2013-06-26T00:00:00.000000,Twenty years of progress in classical archaeology :,,,,
PJ5423 .N6813,Ancient Western Asia,,Compendious Syriac grammar,,,,
CJ1001 .S4 1998,European and Classical Antiquity,,The history and coinage of the Roman imperators 49-27 BC,,,,
DS49 .H8 1966,Ancient Western Asia,,From an antique land: ancient and modern in the Middle East,,,,
DS99.T45 R43 1992,Ancient Western Asia,,"Recherches en Haute Mésopotamie, Tell Mohammed Diyab, campagnes 1990 et 1991",,,,
GT3273 .N33 2017,Ancient Western Asia,,"Death and burial in Iron Age Israel, Aram, and Phoenicia",,,,
N7340 .S863 2016,"China, South Asia, & East Asia",,藝術考古學=Yishu kaoguxue,,,,
DK34.C56 T47 1976,The Caucasus & The Western Steppe,,Киммерийцы,,,,
BS440 .I63 1962,Egypt & North Africa,,"The Interpreter's dictionary of the Bible: an illustrated encyclopedia identifying and explaining all proper names and significant terms and subjects in the Holy Scriptures, including the Aprocrypha, with attention to archaeological discoveries and researches into the life and faith of ancient times, v",,,,
CJ351 .R38 1980,European and Classical Antiquity,,Numismatique grecque: falsifications moyens pour les reconnaître,,,,
GN778.22.R9 A74 2010,The Caucasus & The Western Steppe,,Археологически памяиники Саратовского правобережья: от ранней бронзы до средневековья: (по материалам исследований в 2005-2006 гг,,,,
HG237 .R6 1976,European and Classical Antiquity,,Money in the age of Tiberius,,,,
DC801.F8 P373 2017,European and Classical Antiquity,,"Un quartier de Forum Iulii des Julio-Claudiens à Dioclétien (Fréjus, Var)",,,,
CC79.5.A5 A55 1983 Non-circulating,Cross-Cultural Studies & Other,2012-04-18T00:00:00.000000,Animals and archaeology /,,,,
GN776.22.G8 N45 2018,European and Classical Antiquity,,"Neolithic Alepotrypa Cave in the Mani, Greece: in honor of George Papathanassopoulos",,,,
DS797.88.P855 P788 2016,"China, South Asia, & East Asia",,浦江上山 =Pujiang Shangshan,,,,
DS111.1 .K44 1971,Ancient Western Asia,,Royal cities of the Old Testament,,,,
DK939.5.N57 P37 2010,Central Asia & Siberia,,Nisa Partica: i rhyta ellenestici,,,,
GN799.P4 D468 1996,Central Asia & Siberia,,"Петроглифы Енисея: история изучения, ХVIII-начало ХХ вв",,,,
CC165 .C3 1980 Non-circulating,Cross-Cultural Studies & Other,2013-02-15T00:00:00.000000,The Cambridge encyclopedia of archaeology /,,,,
BT880 .S56 1981,The Caucasus & The Western Steppe,,"Signs of the judgement, Onomastica sacra, and the generations from Adam",,,,
GT1555 .S85 2001,"China, South Asia, & East Asia",,中國古輿服論叢,,,,
NK7183.A1 N36 1999,"China, South Asia, & East Asia",,金银器=Gold and silver wares,,,,
GN776.22.R9 M85 1975,The Caucasus & The Western Steppe,,"Kaвказ нa зaрe бронзового вeкa: нeoлит, энеолит, ранняя бронза",,,,
PJ3870 .S76 1991,Ancient Western Asia,,Adoption in Old Babylonian Nippur and the Archive of Mannum-mešu-liṣṣur,,,,
DS156.A637 A77 v.5 2007,Ancient Western Asia,,"Arslantepe, cretulae: an early centralised administrative system before writing",,,,
PJ3711.S34 D58 1999,Ancient Western Asia,,Sadberk Hanım Müzesi'nde bulunan çiviyazılı belgeler = Cuneiform texts in the Sadberk Hanım Museum,,,,
DK511.V65 P76 2016,The Caucasus & The Western Steppe,,Проблемы археологии Нижнего Поволжья: Материалы V Международной Нижневолжской археологической конференции : 15-18 ноября 2016 года,,,,
DS266 .D466 2016,Ancient Western Asia,,"Des contrées avestiques à Mahabad, via Bisotun: études offertes en hommage à Pierre Lecoq",,,,
PJ4147 .M57 1988,Ancient Western Asia,,"Miscellanea eblaitica, v",,,,
PJ1417 .Z488 2000,Egypt & North Africa,,"Das Zettelarchiv des Wörterbuches der ägyptischen Sprache: Aufbau, Digitalisierung, Erschliessung und Konsultation im Internet",,,,
N8217.D3 K74 2017,Cross-Cultural Studies & Other,,Tanz in der Antike,,,,
DK939.5.N57 I58 2009,Central Asia & Siberia,,Nisa partica: le sculture ellenistiche,,,,
DF261.B7 M37 1981,The Caucasus & The Western Steppe,,Население Боспорского государства в VI-II вв,,,,
CJ688 .N48 1978,Ancient Western Asia,,"The coinage of the eastern Seleucid mints, from Seleucus I to Antiochus III",,,,
HF5607 .I57 2004,Ancient Western Asia,,"Creating economic order: record-keeping, standardization, and the development of accounting in the ancient Near East : a colloquium held at the British Museum, November 2000",,,,
PL2365 .M37 1989,"China, South Asia, & East Asia",,Tʼang transformation texts: a study of the Buddhist contribution to the rise of vernacular fiction and drama in China,,,,
DK925 .S54 1983,Central Asia & Siberia,,Шедевры древнего искусства и культуры Таджикистана: материалы Южнотаджикской археологической экспедиции : каталог выставки,,,,
HD9213.C43 C483 2014,"China, South Asia, & East Asia",,川盐文化圈研究:川盐古道与区域发展学术研讨会论文集,,,,
GN855.R9 M67 1976,Central Asia & Siberia,,Древняя скульптура Урала и Западной Сибири,,,,
DK511.S44 G23 2014,The Caucasus & The Western Steppe,,Аланские княжеские курганы V в,,,,
NK1069.X565 Z56 2013,"China, South Asia, & East Asia",,中國西域・絲路傳奇=中国西域・シルクロード伝奇,,,,
DS262.F38 A84 2016,Ancient Western Asia,,"Tang-e Bolaghi (Fars), sites TB76 and TB77: rural settlements of the Achaemenid and post-Achaemenid periods: report of the archaeological rescue excavations carried out in 2005 and 2006 by the joint Iranian-Italian mission of the Iranian Center for Archaeological Research and the University of Bologna, with the collaboration of IsIAO, Italy",,,,
NA9246.J4 K4 1948,Ancient Western Asia,,"Jerusalem, the city plan: preservation and development during the British Mandate, 1918-1948",,,,
NA1489.6 .C43 1990,Ancient Western Asia,,Chateaux Omayyades de Syrie: collections du Musée national de Damas : 16 septembre 1990-17 mars 1991,,,,
DT49 .S8 1915,Egypt & North Africa,,Aegypten in vergangenheit und gegenwart,,,,
DS70.95 .K37 2017,Ancient Western Asia,,Alterity in ancient Assyrian propaganda,,,,
DS793.K7 S655 2016,"China, South Asia, & East Asia",,汉代郡国分治的考古学观察:以关东地区汉代墓葬为中心=The Archaeogical view of the System of Counties Coexisting with Kingdoms in Han dynasty: Centering the Graves in Guandong area,,,,
